,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_win,away_win,home_loss,away_loss,draw
7474,1970-02-09,DR Congo,Guinea,2.0,2.0,African Cup of Nations,Wad Madani,Sudan,Neutral Ground,0,0,0,0,1
7475,1970-02-09,Egypt,Ghana,1.0,1.0,African Cup of Nations,Wad Madani,Sudan,Neutral Ground,0,0,0,0,1
7476,1970-02-09,Peru,Romania,1.0,1.0,Friendly,Lima,Peru,Not Neutral Ground,0,0,0,0,1
7477,1970-02-10,Ethiopia,Ivory Coast,1.0,6.0,African Cup of Nations,Khartoum,Sudan,Neutral Ground,0,1,1,0,0
7478,1970-02-10,Sudan,Cameroon,2.0,1.0,African Cup of Nations,Khartoum,Sudan,Not Neutral Ground,1,0,0,1,0
7479,1970-02-11,DR Congo,Egypt,0.0,1.0,African Cup of Nations,Wad Madani,Sudan,Neutral Ground,0,1,1,0,0
7480,1970-02-11,Ghana,Guinea,1.0,1.0,African Cup of Nations,Wad Madani,Sudan,Neutral Ground,0,0,0,0,1
7481,1970-02-11,Spain,Germany,2.0,0.0,Friendly,Seville,Spain,Not Neutral Ground,1,0,0,1,0
7482,1970-02-14,Ghana,Ivory Coast,2.0,1.0,African Cup of Nations,Khartoum,Sudan,Neutral Ground,1,0,0,1,0
7483,1970-02-14,Peru,Russia,0.0,0.0,Friendly,Lima,Peru,Not Neutral Ground,0,0,0,0,1
7484,1970-02-14,Sudan,Egypt,2.0,1.0,African Cup of Nations,Khartoum,Sudan,Not Neutral Ground,1,0,0,1,0
7485,1970-02-15,Mexico,Bulgaria,1.0,1.0,Friendly,Mexico City,Mexico,Not Neutral Ground,0,0,0,0,1
7486,1970-02-16,Egypt,Ivory Coast,3.0,1.0,African Cup of Nations,Khartoum,Sudan,Neutral Ground,1,0,0,1,0
7487,1970-02-16,Sudan,Ghana,1.0,0.0,African Cup of Nations,Khartoum,Sudan,Not Neutral Ground,1,0,0,1,0
7488,1970-02-18,Mexico,Bulgaria,2.0,0.0,Friendly,León,Mexico,Not Neutral Ground,1,0,0,1,0
7489,1970-02-20,Peru,Russia,0.0,2.0,Friendly,Lima,Peru,Not Neutral Ground,0,1,1,0,0
7490,1970-02-21,Peru,Bulgaria,1.0,3.0,Friendly,Lima,Peru,Not Neutral Ground,0,1,1,0,0
7491,1970-02-21,Spain,Italy,2.0,2.0,Friendly,Madrid,Spain,Not Neutral Ground,0,0,0,0,1
7492,1970-02-22,El Salvador,Russia,0.0,2.0,Friendly,San Salvador,El Salvador,Not Neutral Ground,0,1,1,0,0
7493,1970-02-22,Mexico,Sweden,0.0,0.0,Friendly,Mexico City,Mexico,Not Neutral Ground,0,0,0,0,1
7494,1970-02-24,Peru,Bulgaria,5.0,3.0,Friendly,Lima,Peru,Not Neutral Ground,1,0,0,1,0
7495,1970-02-25,Belgium,England,1.0,3.0,Friendly,Brussels,Belgium,Not Neutral Ground,0,1,1,0,0
7496,1970-02-26,Costa Rica,El Salvador,2.0,0.0,Friendly,San José,Costa Rica,Not Neutral Ground,1,0,0,1,0
7497,1970-02-26,Mexico,Russia,0.0,0.0,Friendly,Mexico City,Mexico,Not Neutral Ground,0,0,0,0,1
7498,1970-03-01,Mexico,Sweden,0.0,1.0,Friendly,Puebla,Mexico,Not Neutral Ground,0,1,1,0,0
7499,1970-03-04,Brazil,Argentina,0.0,2.0,Friendly,Porto Alegre,Brazil,Not Neutral Ground,0,1,1,0,0
7500,1970-03-05,Peru,Mexico,0.0,1.0,Friendly,Lima,Peru,Not Neutral Ground,0,1,1,0,0
7501,1970-03-08,Brazil,Argentina,2.0,1.0,Friendly,Rio de Janeiro,Brazil,Not Neutral Ground,1,0,0,1,0
7502,1970-03-08,Peru,Mexico,1.0,0.0,Friendly,Lima,Peru,Not Neutral Ground,1,0,0,1,0
7503,1970-03-15,Mexico,Peru,3.0,1.0,Friendly,Mexico City,Mexico,Not Neutral Ground,1,0,0,1,0
7504,1970-03-18,Mexico,Peru,3.0,3.0,Friendly,León,Mexico,Not Neutral Ground,0,0,0,0,1
7505,1970-03-22,Brazil,Chile,5.0,0.0,Friendly,São Paulo,Brazil,Not Neutral Ground,1,0,0,1,0
7506,1970-03-22,Burkina Faso,Niger,3.0,3.0,Friendly,Ouagadougou,Upper Volta,Not Neutral Ground,0,0,0,0,1
7507,1970-03-22,Ethiopia,Israel,1.0,5.0,Friendly,Addis Ababa,Ethiopia,Not Neutral Ground,0,1,1,0,0
7508,1970-03-22,Guinea,Ivory Coast,4.0,2.0,Friendly,Conakry,Guinea,Not Neutral Ground,1,0,0,1,0
7509,1970-03-26,Brazil,Chile,2.0,1.0,Friendly,Rio de Janeiro,Brazil,Not Neutral Ground,1,0,0,1,0
7510,1970-03-26,Guinea,Mali,2.0,1.0,Friendly,Conakry,Guinea,Not Neutral Ground,1,0,0,1,0
7515,1970-03-31,Uruguay,Peru,2.0,0.0,Friendly,Montevideo,Uruguay,Not Neutral Ground,1,0,0,1,0
7518,1970-04-08,Argentina,Uruguay,2.0,1.0,Friendly,Buenos Aires,Argentina,Not Neutral Ground,1,0,0,1,0
7519,1970-04-08,France,Bulgaria,1.0,1.0,Friendly,Rouen,France,Not Neutral Ground,0,0,0,0,1
7520,1970-04-08,Germany,Romania,1.0,1.0,Friendly,Stuttgart,Germany,Not Neutral Ground,0,0,0,0,1
7521,1970-04-08,Yugoslavia,Austria,1.0,1.0,Friendly,Sarajevo,Yugoslavia,Not Neutral Ground,0,0,0,0,1
7522,1970-04-12,Austria,Czechoslovakia,1.0,3.0,Friendly,Vienna,Austria,Not Neutral Ground,0,1,1,0,0
7523,1970-04-12,Brazil,Paraguay,0.0,0.0,Friendly,Rio de Janeiro,Brazil,Not Neutral Ground,0,0,0,0,1
7524,1970-04-12,Yugoslavia,Hungary,2.0,2.0,Friendly,Belgrade,Yugoslavia,Not Neutral Ground,0,0,0,0,1
7525,1970-04-14,Haiti,Bermuda,1.0,1.0,Friendly,Port-au-Prince,Haiti,Not Neutral Ground,0,0,0,0,1
7526,1970-04-15,Ghana,Ivory Coast,3.0,0.0,Friendly,Accra,Ghana,Not Neutral Ground,1,0,0,1,0
7527,1970-04-15,Uruguay,Argentina,2.0,1.0,Friendly,Montevideo,Uruguay,Not Neutral Ground,1,0,0,1,0
7530,1970-04-19,Ghana,Ivory Coast,1.0,1.0,Friendly,Accra,Ghana,Not Neutral Ground,0,0,0,0,1
7532,1970-04-21,Peru,El Salvador,3.0,0.0,Friendly,Lima,Peru,Not Neutral Ground,1,0,0,1,0
7534,1970-04-22,Switzerland,Spain,0.0,1.0,Friendly,Lausanne,Switzerland,Not Neutral Ground,0,1,1,0,0
7537,1970-04-28,France,Romania,2.0,0.0,Friendly,Reims,France,Not Neutral Ground,1,0,0,1,0
7538,1970-04-29,Brazil,Austria,1.0,0.0,Friendly,Rio de Janeiro,Brazil,Not Neutral Ground,1,0,0,1,0
7539,1970-04-29,Mexico,Ecuador,4.0,2.0,Friendly,León,Mexico,Not Neutral Ground,1,0,0,1,0
7540,1970-05-02,Hungary,Poland,2.0,0.0,Friendly,Budapest,Hungary,Not Neutral Ground,1,0,0,1,0
7541,1970-05-03,Switzerland,France,2.0,1.0,Friendly,Basel,Switzerland,Not Neutral Ground,1,0,0,1,0
7542,1970-05-05,Bulgaria,Russia,3.0,3.0,Friendly,Sofia,Bulgaria,Not Neutral Ground,0,0,0,0,1
7543,1970-05-06,Bulgaria,Russia,0.0,0.0,Friendly,Sofia,Bulgaria,Not Neutral Ground,0,0,0,0,1
7544,1970-05-06,Poland,Republic of Ireland,2.0,1.0,Friendly,Poznań,Poland,Not Neutral Ground,1,0,0,1,0
7545,1970-05-06,Romania,Yugoslavia,0.0,0.0,Friendly,Bucharest,Romania,Not Neutral Ground,0,0,0,0,1
7546,1970-05-09,Germany,Republic of Ireland,2.0,1.0,Friendly,Berlin,Germany,Not Neutral Ground,1,0,0,1,0
7547,1970-05-09,Luxembourg,Czechoslovakia,0.0,1.0,Friendly,Luxembourg,Luxembourg,Not Neutral Ground,0,1,1,0,0
7548,1970-05-10,Portugal,Italy,1.0,2.0,Friendly,Oeiras,Portugal,Not Neutral Ground,0,1,1,0,0
7549,1970-05-13,Germany,Yugoslavia,1.0,0.0,Friendly,Hanover,Germany,Not Neutral Ground,1,0,0,1,0
7550,1970-05-13,Norway,Czechoslovakia,0.0,2.0,Friendly,Oslo,Norway,Not Neutral Ground,0,1,1,0,0
7551,1970-05-14,Guinea,Senegal,3.0,1.0,Friendly,Conakry,Guinea,Not Neutral Ground,1,0,0,1,0
7552,1970-05-16,Hungary,Sweden,1.0,2.0,Friendly,Budapest,Hungary,Not Neutral Ground,0,1,1,0,0
7553,1970-05-16,Poland,German DR,1.0,1.0,Friendly,Kraków,Poland,Not Neutral Ground,0,0,0,0,1
7554,1970-05-17,Guinea,Senegal,4.0,0.0,Friendly,Conakry,Guinea,Not Neutral Ground,1,0,0,1,0
7555,1970-05-19,Denmark,Poland,0.0,2.0,Friendly,Copenhagen,Denmark,Not Neutral Ground,0,1,1,0,0
7556,1970-05-20,Colombia,England,0.0,4.0,Friendly,Bogotá,Colombia,Not Neutral Ground,0,1,1,0,0
7557,1970-05-24,Ecuador,England,0.0,2.0,Friendly,Quito,Ecuador,Not Neutral Ground,0,1,1,0,0
7558,1970-05-31,Mexico,Russia,0.0,0.0,FIFA World Cup,Mexico City,Mexico,Not Neutral Ground,0,0,0,0,1
7559,1970-06-02,Bulgaria,Peru,2.0,3.0,FIFA World Cup,León,Mexico,Neutral Ground,0,1,1,0,0
7560,1970-06-02,England,Romania,1.0,0.0,FIFA World Cup,Guadalajara,Mexico,Neutral Ground,1,0,0,1,0
